id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood,crime_rate
180,http://photos3.zillowstatic.com/p_f/IShr0emjcriqz30000000000.jpg,765,Market,St,APT PH3B,San Francisco,CA,94103,29950,3,37.78622,-122.40431,98,2001,http://www.zillow.com/homedetails/765-Market-St-APT-PH3B-San-Francisco-CA-94103/63197408_zpid/,Yerba Buena,C
182,http://photos2.zillowstatic.com/p_f/IS13blupviuz5u0000000000.jpg,1635,California,St,APT 44,San Francisco,CA,94109,4500,2,37.790184,-122.421348,99,2005,http://www.zillow.com/homedetails/1635-California-St-APT-44-San-Francisco-CA-94109/79846848_zpid/,Van Ness - Civic Center,C
184,http://photos3.zillowstatic.com/p_f/ISxrnsuq5rehu21000000000.jpg,4226,25th,St,,San Francisco,CA,94114,12995,4,37.7499,-122.434602,96,1908,http://www.zillow.com/homedetails/4226-25th-St-San-Francisco-CA-94114/15180985_zpid/,Noe Valley,A
185,http://photos1.zillowstatic.com/p_f/ISds68dz94s1290000000000.jpg,245,N Point,St,,San Francisco,CA,94133,3000,Studio,37.80683,-122.4112,96,3000,http://www.zillow.com/homedetails/245-N-Point-St-San-Francisco-CA-94133/2101551985_zpid/,North Waterfront,B
186,http://photos1.zillowstatic.com/p_f/IS17qzmalcp4vg1000000000.jpg,455,Eddy,St,,San Francisco,CA,94109,2595,1,37.78357,-122.4151,98,3000,http://www.zillow.com/homedetails/455-Eddy-St-San-Francisco-CA-94109/2103083219_zpid/,Tenderloin,D
188,http://photos3.zillowstatic.com/p_f/IS9hnmliqejbtu0000000000.jpg,625,Guerrero,St,,San Francisco,CA,94110,2995,1,37.76118,-122.4234,97,1924,http://www.zillow.com/homedetails/625-Guerrero-St-San-Francisco-CA-94110/2104668651_zpid/,Mission,D
190,http://photos2.zillowstatic.com/p_f/ISd011m34ruadk0000000000.jpg,28,Perego,Ter,# 3,San Francisco,CA,94131,4495,2,37.75007,-122.44477,38,1964,http://www.zillow.com/homedetails/28-Perego-Ter-3-San-Francisco-CA-94131/15132221_zpid/,Twin Peaks,B
192,http://photos1.zillowstatic.com/p_f/ISli0rmbuq5sb20000000000.jpg,421,Arguello,Blvd,APT 202,San Francisco,CA,94118,5400,3,37.78272,-122.4594,96,2012,http://www.zillow.com/homedetails/421-Arguello-Blvd-APT-202-San-Francisco-CA-94118/2101118473_zpid/,Inner Richmond,B
193,http://photos1.zillowstatic.com/p_f/ISlqu7uau7bt661000000000.jpg,1740,Pacific,Ave,APT 205,San Francisco,CA,94109,2700,1,37.79498,-122.4241,96,3000,http://www.zillow.com/homedetails/1740-Pacific-Ave-APT-205-San-Francisco-CA-94109/2124458232_zpid/,Pacific Heights,B
150,http://photos1.zillowstatic.com/p_f/ISlqawzjlsef9g0000000000.jpg,1,Bluxome,St,,San Francisco,CA,94107,4500,1,37.77723,-122.3956,93,2003,http://www.zillow.com/homedetails/1-Bluxome-St-San-Francisco-CA-94107/2117404078_zpid/,South of Market,C
